path,class,prediction,correct,confidence,token_count
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/a/hand1_a_dif_seg_2_cropped.mat,a,e,False,0.9703975915908813,415.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/b/hand3_b_dif_seg_5_cropped.mat,b,u,False,0.44238340854644775,428.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/c/hand2_c_top_seg_1_cropped.mat,c,e,False,0.7472342252731323,314.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/d/hand2_d_dif_seg_1_cropped.mat,d,n,False,0.9003573656082153,354.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/e/hand2_e_dif_seg_1_cropped.mat,e,t,False,0.6138948798179626,531.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/f/hand5_f_bot_seg_1_cropped.mat,f,t,False,0.9073768258094788,332.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/g/hand1_g_dif_seg_2_cropped.mat,g,p,False,0.4260385036468506,342.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/h/hand2_h_top_seg_4_cropped.mat,h,i,False,0.5413077473640442,448.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/i/hand1_i_left_seg_5_cropped.mat,i,w,False,0.9382193684577942,420.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/k/hand1_k_dif_seg_2_cropped.mat,k,f,False,0.9893800616264343,349.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/l/hand2_l_left_seg_2_cropped.mat,l,e,False,0.5458466410636902,306.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/m/hand5_m_dif_seg_4_cropped.mat,m,p,False,0.6704793572425842,644.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/n/hand3_n_dif_seg_2_cropped.mat,n,h,False,0.5411109328269958,603.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/o/hand3_o_dif_seg_4_cropped.mat,o,y,False,0.4387098550796509,315.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/p/hand3_p_dif_seg_1_cropped.mat,p,y,False,0.9978825449943542,322.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/q/hand4_q_bot_seg_1_cropped.mat,q,g,False,0.7821168303489685,426.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/r/hand2_r_left_seg_1_cropped.mat,r,f,False,0.7819526195526123,332.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/s/hand1_s_dif_seg_4_cropped.mat,s,e,False,0.9956075549125671,578.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/t/hand4_t_bot_seg_5_cropped.mat,t,e,False,0.5590062141418457,414.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/u/hand2_u_dif_seg_2_cropped.mat,u,l,False,0.5941148996353149,362.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/v/hand2_v_left_seg_1_cropped.mat,v,f,False,0.577083945274353,343.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/w/hand2_w_bot_seg_1_cropped.mat,w,w,True,0.9131391048431396,271.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/x/hand1_x_left_seg_3_cropped.mat,x,o,False,0.6175755858421326,340.0
/home/z4j/Neuromorphic_Vision/Vision_AI_Project/EventGAN/generated_events/asl_data_eventgan_yfixed/y/hand5_y_bot_seg_5_cropped.mat,y,y,True,0.8264588117599487,465.0
